OPERATION_PRODUCT,OPERATION_ID,EMPLOYEE_ID,MACHINE_CODE,SHIFT,HOUR,OT_FLAG,PLANED_QUANTITY,PM_EMPLOYEE_ID,IS_SCRAP
9259076592.TOP_HOLES_PIERCE,O0070,E1011,PP13,General,2,0,450,E1010,0
9259076592.NOTCH,O0051,E1053,NM01,General,1,0,710,E1010,0
9259076592.ROBOT_CO2_WELD,O0060,E1024,ROW2,General,2,0,284,E1010,1
9259076592.ROBOT_CO2_WELD,O0060,E1050,ROW2,General,3,0,188,E1010,0
9259076592.ROBOT_CO2_WELD,O0060,E1051,ROW2,General,4,0,1382,E1010,0
9259076592.LEAK_CHECK,O0048,E1054,LM01,General,1,0,327,E1010,0
9259076592.LEAK_CHECK,O0048,E1054,LM01,General,2,0,284,E1010,1
100260710.CO2_WELD,O0021,E1051,MIG01,General,2,0,369,E1010,0
100260710.CO2_WELD,O0021,E1051,MIG01,General,3,0,288,E1010,0
B5503207.SPOT_WELD,O0068,E1052,SW01,General,1,0,156,E1010,0
4721951294.BLANK,O0019,E1012,PP07,General,1,0,1590,E1043,0
100261121.DEBUR,O0026,E1049,MIG01,General,1,0,125,E1010,0
100261121.CO2_WELD,O0021,E1059,MIG01,General,1,0,125,E1010,0
9254916692.CO2_WELD,O0021,E1059,MIG04,General,2,0,300,E1010,0
100261280.CO2_WELD,O0021,E1059,MIG03,General,3,0,559,E1010,0
9259076592.NOTCH,O0051,E1050,NM01,General,1,0,182,E1010,0
9259076592.NOTCH,O0051,E1053,NM01,General,2,0,1388,E1010,1
9259076592.LEAK_CHECK,O0048,E1054,LM01,General,2,0,1382,E1010,0
9253920415.BLANK,O0019,E1048,BL01,General,1,0,787,E1010,0
100261280.CO2_WELD,O0021,E1059,MIG03,General,1,0,954,E1060,0
B1E20504.CO2_WELD_1,O0098,E057,BL01,General,1,0,300,E1060,0
B1E20504.CO2_WELD_2,O0099,E057,BL01,General,2,0,300,E1060,0
9253920415.TOP_HOLES_PIERCE,O0070,E1048,PP13,General,1,0,786,E1010,0
9709090124.COLLAR_FORM,O0022,E056,HP03,General,1,0,1753,E1043,1
F2835013.FORM,O0041,E1047,HP02,General,1,0,500,E1043,0
F2835113.FORM,O0041,E1047,HP02,General,2,0,500,E1043,0
FL204813.FLANGE_FOLD,O0113,E1032,PP02,General,1,0,504,E1043,0
F1103713.FORM,O0041,E1033,HP04,General,1,0,1008,E1043,0
FL204813.BLANK_2_HOLES_PIERCE,O0089,E057,PP03,General,1,0,504,E1043,1
100260710.CO2_WELD,O0021,E1051,MIG01,General,1,0,238,E1010,0
100260710.DEBUR,O0026,E1042,DB01,General,2,0,663,E1010,0
100260710.CO2_WELD,O0021,E1059,MIG01,General,3,0,663,E1010,0
FE300513.FORM,O0041,E1035,HP02,General,1,0,510,E1043,1
9253920206.1ST_DRAW,O0002,E1030,PP08,General,1,0,3000,E1043,0
9253920206.2ND_DRAW,O0003,E1030,PP08,General,2,0,3000,E1043,0
9253920206.TRIM,O0072,E1030,PP08,General,3,0,3000,E1043,0
9253920206.LIP_FORM,O0050,E1030,PP08,General,4,0,3000,E1043,1
9253920206.LETTER_PUNCH,O0049,E1030,PP08,General,6,0,3000,E1043,0
9259076592.1ST_DRAW,O0002,E1011,PP09,General,1,0,250,E1010,0
9259076592.1ST_DRAW,O0002,E1011,PP09,General,2,0,220,E1010,1
9259076592.1ST_DRAW,O0002,E057,PP09,General,4,0,280,E1010,0
9259076592.1ST_DRAW,O0002,E057,PP09,General,5,0,580,E1010,0
9253920206.DEBUR,O0026,E1030,DB01,General,1,0,3000,E1043,0
9259076592.2ND_DRAW,O0003,E1011,PP10,General,1,0,250,E1010,0
9259076592.2ND_DRAW,O0003,E1011,PP10,General,2,0,220,E1010,0
9259076592.2ND_DRAW,O0003,E057,PP10,General,3,0,70,E1010,0
9259076592.2ND_DRAW,O0003,E057,PP10,General,4,0,280,E1010,1
9259076592.TRIM,O0072,E1011,PP11,General,1,0,250,E1010,0
9259076592.TRIM,O0072,E1011,PP11,General,2,0,220,E1010,0
9259076592.TRIM,O0072,E057,PP11,General,3,0,70,E1010,1
9259076592.TRIM,O0072,E057,PP11,General,5,0,580,E1010,0
9259076592.RELEASE_PUNCH,O0059,E1011,PP12,General,1,0,250,E1010,0
9259076592.RELEASE_PUNCH,O0059,E1011,PP12,General,2,0,220,E1010,0
9259076592.RELEASE_PUNCH,O0059,E057,PP12,General,3,0,70,E1010,0
9259076592.RELEASE_PUNCH,O0059,E057,PP12,General,5,0,580,E1010,0
9259076592.TOP_HOLES_PIERCE,O0070,E1011,PP13,General,1,0,250,E1010,0
9259076592.TOP_HOLES_PIERCE,O0070,E1011,PP13,General,2,0,220,E1010,0
9259076592.TOP_HOLES_PIERCE,O0070,E057,PP13,General,3,0,70,E1010,0
9259076592.TOP_HOLES_PIERCE,O0070,E057,PP13,General,4,0,280,E1010,1
100260710.1ST_DRAW,O0002,E057,PP09,General,1,0,70,E1010,0
100260710.2ND_DRAW,O0003,E057,PP10,General,1,0,70,E1010,0
100262820.CURL,O0025,E1059,MIG05,General,1,0,1680,E1010,0
100260710.TRIM,O0072,E057,PP11,General,1,0,70,E1010,0
9259076592.NOTCH,O0051,E1053,NM01,General,1,0,608,E1060,0
9259076592.NOTCH,O0051,E1053,NM01,General,2,0,186,E1060,0
9259076592.ROBOT_CO2_WELD,O0060,E1051,ROW2,General,1,0,99,E1060,0
9259076592.ROBOT_CO2_WELD,O0060,E1051,ROW2,General,2,0,186,E1060,1
9259076592.ROBOT_CO2_WELD,O0060,E1051,ROW2,General,3,0,509,E1060,0
9254916692.1ST_DRAW,O0002,E040 ,HP06,General,1,0,392,E1016,0
9254916692.2ND_DRAW,O0003,E039 ,HP04,General,1,0,392,E1016,0
9254916692.BLANK,O0019,E040 ,HP06,General,1,0,1035,E1016,1
9254916692.1ST_DRAW,O0002,E057,HP06,General,3,0,60,E1016,0
9254916692.2ND_DRAW,O0003,E1028,HP04,General,1,0,108,E1016,0
9254916692.2ND_DRAW,O0003,E1028,HP04,Second,1,0,60,E1016,0
9254916692.2ND_DRAW,O0003,E1028,HP04,Second,3,0,40,E1016,0
9254916692.2ND_DRAW,O0003,E1028,HP04,Second,4,0,10,E1016,0
9254916692.2ND_DRAW,O0003,E1028,HP04,Second,6,0,100,E1016,0
100260710.1ST_DRAW,O0002,E057,PP09,General,1,0,550,E1016,1
100260710.2ND_DRAW,O0003,E057,PP10,Second,1,0,550,E1016,0
100260710.2ND_DRAW,O0003,E057,PP10,Second,2,0,100,E1016,0
100260710.TRIM,O0072,E057,PP11,Second,1,0,550,E1016,0
100260710.TRIM,O0072,E057,PP11,Second,2,0,100,E1016,0
100260710.TRIM,O0072,E057,PP11,Second,3,0,50,E1016,0
